TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,DF,CONTCODE,YEAR,VALUE,SHIPWT,FREIGHT_CHARGES
1,0108,48,5,1220,1,X,2024,8722247,0,220821
1,0108,48,6,1220,1,X,2024,50988,0,999
1,0108,54,5,1220,1,X,2024,11989,0,260
1,0108,56,5,1220,1,X,2024,105452,0,2666
1,0108,59,5,1220,1,X,2024,4193,0,139
1,0108,61,5,1220,1,X,2024,3052,0,75
1,0108,65,5,1220,2,X,2024,2791,0,83
1,0108,68,5,1220,1,X,2024,4790,0,95
1,0108,72,5,1220,1,X,2024,810537,0,65159
1,0108,73,5,1220,1,X,2024,239052,0,299
1,0108,74,5,1220,1,X,2024,52335,0,386
1,0108,76,5,1220,1,X,2024,53453,0,574
1,0108,82,5,1220,1,X,2024,67550,0,1757
1,0108,83,5,1220,2,X,2024,2710,0,63
1,0108,84,5,1220,1,X,2024,1032005,0,33246
1,0108,84,5,1220,2,X,2024,503240,0,9375
1,0108,85,5,1220,1,X,2024,52246,0,1919
1,0108,86,5,1220,1,X,2024,18927,0,923
1,0108,87,5,1220,1,X,2024,2075869,0,57836
1,0108,87,5,1220,2,X,2024,100171,0,3293
1,0108,87,8,1220,1,X,2024,12389,0,208
1,0108,88,5,1220,1,X,2024,2473437,0,53716
1,0108,89,5,1220,1,X,2024,12207,0,180
1,0108,90,5,1220,1,X,2024,30651,0,685
1,0108,90,8,1220,2,X,2024,3499,0,89
1,0108,94,5,1220,1,X,2024,32728,0,1268
1,0108,95,5,1220,1,X,2024,3296,0,43
1,0108,95,5,1220,2,X,2024,7699,0,704
1,0108,96,5,1220,1,X,2024,61924,0,1480
1,0108,98,5,1220,1,X,2024,992493,0,1209
1,0108,98,5,1220,2,X,2024,40038,0,867
1,0109,06,5,1220,1,X,2024,102564,0,5769
1,0109,07,5,1220,1,X,2024,21964,0,846
1,0109,08,5,1220,2,X,2024,58126,0,3158
1,0109,11,5,1220,1,X,2024,13683,0,397
1,0109,11,5,1220,2,X,2024,21937,0,1
1,0109,25,5,1220,1,X,2024,4256,0,402
1,0109,27,5,1220,1,X,2024,859502,0,84034
1,0109,28,5,1220,1,X,2024,53992,0,5328
1,0109,28,6,1220,1,X,2024,383598,0,35273
1,0109,33,5,1220,1,X,2024,10901,0,84
1,0109,34,5,1220,1,X,2024,6809,0,256
